transaction_id,amount,transaction_time,location,is_fraud
135,92.76,2025-07-05 21:58:20,Baltimore,0
136,58.32,2025-07-05 22:45:07,Milwaukee,0
137,23.45,2025-07-05 23:31:54,Albuquerque,0
138,78.54,2025-07-06 00:18:41,Tucson,0
139,21.87,2025-07-06 01:05:28,Fresno,0
140,112.23,2025-07-06 01:52:15,Sacramento,0
141,50.65,2025-07-06 02:39:02,Kansas City,0
142,38.12,2025-07-06 03:25:49,Long Beach,0
143,70.90,2025-07-06 04:12:36,Mesa,0
144,34.23,2025-07-06 04:59:23,Atlanta,0
145,94.45,2025-07-06 05:46:10,Colorado Springs,0
146,60.78,2025-07-06 06:32:57,Virginia Beach,0
147,24.34,2025-07-06 07:19:44,Raleigh,0
148,79.12,2025-07-06 08:06:31,Omaha,0
149,22.90,2025-07-06 08:53:18,Miami,0
150,118.00,2025-07-06 09:40:05,Oakland,0
151,51.67,2025-07-06 10:26:52,Minneapolis,0
152,39.21,2025-07-06 11:13:39,Tulsa,0
153,71.89,2025-07-06 12:00:26,Arlington,0
154,35.99,2025-07-06 12:47:13,New Orleans,0
155,96.76,2025-07-06 13:34:00,Wichita,0
156,62.32,2025-07-06 14:20:47,Cleveland,0
157,25.45,2025-07-06 15:07:34,Tampa,0
158,80.54,2025-07-06 15:54:21,Aurora,0
159,23.87,2025-07-06 16:41:08,Honolulu,0
160,114.23,2025-07-06 17:27:55,Anaheim,0
161,52.65,2025-07-06 18:14:42,Lexington,0
162,40.12,2025-07-06 19:01:29,Stockton,0
163,72.90,2025-07-06 19:48:16,Corpus Christi,0
164,36.23,2025-07-06 20:35:03,Henderson,0
165,98.45,2025-07-06 21:21:50,Riverside,0
166,64.78,2025-07-06 22:08:37,St. Louis,0
167,26.34,2025-07-06 22:55:24,Cincinnati,0
168,81.12,2025-07-06 23:42:11,Greensboro,0
169,24.90,2025-07-07 00:28:58,Plano,0
170,121.00,2025-07-07 01:15:45,Orlando,0
171,53.67,2025-07-07 02:02:32,Lincoln,0
172,41.21,2025-07-07 02:49:19,Toledo,0
173,73.89,2025-07-07 03:36:06,Chula Vista,0
174,37.99,2025-07-07 04:22:53,Fort Wayne,0
175,100.76,2025-07-07 05:09:40,Jersey City,0
176,66.32,2025-07-07 05:56:27,St. Paul,0
177,27.45,2025-07-07 06:43:14,Durham,0
178,82.54,2025-07-07 07:30:01,Anchorage,0
179,25.87,2025-07-07 08:16:48,Laredo,0
180,116.23,2025-07-07 09:03:35,Chandler,0
181,54.65,2025-07-07 09:50:22,Madison,0
182,42.12,2025-07-07 10:37:09,Lubbock,0
183,74.90,2025-07-07 11:23:56,Scottsdale,0
184,39.23,2025-07-07 12:10:43,Reno,0
185,102.45,2025-07-07 12:57:30,Buffalo,0
186,68.78,2025-07-07 13:44:17,Glendale,0
187,28.34,2025-07-07 14:31:04,North Las Vegas,0
188,83.12,2025-07-07 15:17:51,Gilbert,0
189,26.90,2025-07-07 16:04:38,Winston-Salem,0
190,123.00,2025-07-07 16:51:25,Chesapeake,0
191,55.67,2025-07-07 17:38:12,Irving,0
192,43.21,2025-07-07 18:24:59,Hialeah,0
193,75.89,2025-07-07 19:11:46,Garland,0
194,40.99,2025-07-07 19:58:33,Montgomery,0
195,104.76,2025-07-07 20:45:20,Baton Rouge,0
196,70.32,2025-07-07 21:32:07,Arlington,0
197,29.45,2025-07-07 22:18:54,Boise,0
198,84.54,2025-07-07 23:05:41,Des Moines,0
199,27.87,2025-07-08 00:52:28,Spokane,0
200,119.23,2025-07-08 01:39:15,San Bernardino,0
